Num,ClusterLabelK11_Takahashietal2019,Code,Lon,Lat,Ve_wrt_S01R,Vn_wrt_S01R,sVe,sVn
159,7,S103,120.47519,23.56437,-6.768570536,3.876396896,0.3,0.2
87,7,GS04,120.50679,23.59152,-5.88064306,2.996337298,1,0.8
186,7,WFEN,120.69947,24.04194,-6.392263277,3.090140806,0.3,0.2
188,7,WUFN,120.69939,24.04278,-6.520969308,2.808373068,0.3,0.2
134,7,KZN1,120.69798,23.94625,-6.356179298,2.684955256,0.3,0.2
174,7,SUCH,120.90758,24.29107,-6.689172914,1.692620963,0.7,0.9
123,7,GS68,120.4877,23.6071,-7.573500325,1.389997418,1.2,0.7
155,7,S011,120.33945,23.20542,-8.440206819,1.006433731,0.5,0.6
183,7,TUNS,120.40404,23.31724,-7.874408223,2.28772707,0.3,0.3
171,7,SSUN,120.37777,23.41415,-8.725008149,2.207766473,0.3,0.3
119,7,GS43,120.3736,23.2572,-8.285470151,1.897625986,0.4,0.3
125,7,GUKN,120.58878,23.64586,-7.481510773,5.180443663,0.4,0.2
68,7,BLOW,121.57124,24.17175,-8.735518282,5.825866488,0.5,0.5
69,7,CHIA,120.4332,23.49597,-8.69387879,3.30249475,0.2,0.3
118,7,GS41,120.4449,23.3776,-10.25379516,3.391118524,0.4,0.5
99,7,GS18,120.47378,23.48498,-10.41814386,3.205039545,0.3,0.3
72,7,CHNT,121.66189,24.14921,-10.48298027,2.986155484,0.5,0.6
143,7,NSHE,120.8009,24.22579,-10.49759304,4.695800294,0.3,0.3
81,7,FNGU,120.72445,24.03516,-9.907702585,5.004740702,0.3,0.2
76,7,CWEN,120.45276,23.47304,-9.886779756,4.589290366,0.3,0.3
148,7,PENL,120.97604,24.53884,-5.605218957,7.916534624,1.7,1.2
170,7,SPAO,121.48486,24.20501,-7.777730077,9.269137762,0.6,0.4
169,7,SONA,120.98584,24.39781,-7.707463915,7.707463915,0.4,0.3
142,7,NSAN,121.3828,24.4282,-3.604240195,10.70978303,0.7,0.5
121,7,GS61,121.20048,24.6788,-2.588322103,7.780783295,1.2,0.8
66,7,BALN,121.42612,24.69948,-2.904759747,8.939931253,0.4,0.3
122,7,GS62,121.24302,24.73348,-1.004605653,7.735035067,1.1,0.7
178,7,THAI,121.29559,24.60712,-1.109011025,9.03216998,0.5,0.3
150,7,PLAN,121.0866,24.57895,-1.096824091,8.932915365,0.5,0.3
84,7,GS01,121.50816,24.982,2.800723174,4.499549944,0.4,0.4
75,7,CLAN,121.512,24.60225,3.379482908,5.66913532,0.3,0.3
